id,name,org,url,focus,levels,mode,location_label,lat,lon,availability,paid,cost,stipend,deadline,selectivity,isDirectory,multiSite,verified,confidence,notes,is_grant
perimeter-issyp,International Summer School for Young Physicists (ISSYP),Perimeter Institute,https://perimeterinstitute.ca/issyp,physics,hs-11;hs-12,remote,"Online (Perimeter Institute, Waterloo, ON)",,,summer,TRUE,0,,,very-high,FALSE,FALSE,FALSE,high,"CORRECTED this pass: two independent sources confirm ISSYP currently runs as a two-week ONLINE program, not in-person at the Waterloo campus as originally modeled - mode changed to remote, coordinates cleared. Eligibility: Grade 11-12 students who have not yet started post-secondary. Direct WebFetch of perimeterinstitute.ca/issyp returned 403 (bot-blocked) both times - verified via AoPS wiki and PI's own news articles instead. In its 20th+ year, 900+ alumni across 60 countries. Re-confirm 2026/2027 offering dates directly before publishing.",FALSE
sanofi-biogenius-canada,Sanofi Biogenius Canada,Sanofi Biogenius Canada,https://biogenius.ca/biogenius-programs/,biology;chemistry,hs-10;hs-11;hs-12,in-person,Canada (regional then national),,,summer,FALSE,,,,high,FALSE,TRUE,FALSE,high,"FIXED this pass: official domain found and confirmed - biogenius.ca (previously blank/unconfirmed). Formerly 'Sanofi BioGENEius Challenge Canada'. National biotech competition, HS + CEGEP students, ~4 months mentored research, regional then national competition each April/May. Also runs a separate 'Biogenius Grant' (equipment funding for public high schools, not a student research placement - don't conflate the two).",FALSE
deep-summer-academy-uoft,DEEP Summer Academy,University of Toronto (Engineering Outreach),https://outreach.engineering.utoronto.ca/pre-university-programs/high-school-program/deep/,engineering;computer-science,hs-9;hs-10;hs-11;hs-12,in-person,"Toronto, ON",43.6629,-79.3957,summer,FALSE,732,,,high,FALSE,FALSE,FALSE,high,"Confirmed via search incl. official URL. This is enrichment coursework (advanced classes taught by grad students), NOT independent research - flag if you want research-only entries. Cost not confirmed (likely paid by student/family, need to check). COST CONFIRMED this pass: $732/week (domestic) or $1,111/week (international), up to 4 weeks, $100 rebate for registering all 4. cost field here reflects ONE week as a baseline since the schema has no per-week concept - actual total cost scales with weeks registered, note this in any display.",FALSE
nserc-usra,NSERC Undergraduate Student Research Awards (USRA),Natural Sciences and Engineering Research Council of Canada,https://nserc-crsng.canada.ca/en/funding-opportunity/undergraduate-student-research-awards,biology;chemistry;computer-science;physics;neuroscience,ugrad-1;ugrad-2;ugrad-3;ugrad-4,in-person,Canada (via host university/professor),,,summer,TRUE,0,7500,,medium,TRUE,FALSE,FALSE,high,"URL updated to the current nserc-crsng.canada.ca domain this pass - old nserc-crsng.gc.ca path now redirects here, updated to the canonical target. Other details unchanged: $6000 NSERC + $1500 min top-up = $7500 total, 16 weeks May-Sept. Canadian citizen/PR required. isDirectory=true because students apply through an individual professor/university, not one central application.",TRUE
ubc-sure,Science Undergraduate Research Experience (SURE) Awards,University of British Columbia,https://science.ubc.ca/students/undergrad-research/sure,biology;chemistry;computer-science;physics,ugrad-1;ugrad-2;ugrad-3;ugrad-4,in-person,"Vancouver, BC",49.2606,-123.2460,summer,TRUE,,3500,,medium,FALSE,FALSE,FALSE,high,"Confirmed via search incl. official URL. 8+ weeks, up to $3500, open to domestic AND international BSc/BCS students at UBC Vancouver campus. Must reside in BC during award.",FALSE
mcgill-sura,Science Undergraduate Research Awards (SURA),McGill University,https://www.mcgill.ca/science/research/undergraduate-research/sura,biology;chemistry;computer-science;physics;neuroscience,ugrad-1;ugrad-2;ugrad-3;ugrad-4,in-person,"Montreal, QC",45.5048,-73.5772,summer,TRUE,,9050,,medium,FALSE,FALSE,FALSE,high,"Confirmed via search incl. official URL. 15 weeks full-time, $9050 stipend (2026 figure), open to Canadian AND international McGill students - broader eligibility than NSERC USRA.",FALSE
waterloo-ura-cs,Undergraduate Research Assistantship (URA) - Computer Science,University of Waterloo (Cheriton School of CS),https://cs.uwaterloo.ca/current-undergraduate-students/research-opportunities/ura,computer-science,ugrad-2;ugrad-3;ugrad-4,in-person,"Waterloo, ON",43.4723,-80.5449,year-round,TRUE,,,,medium,FALSE,FALSE,FALSE,medium,"Confirmed via search incl. official URL. 10 weeks, PART-TIME during a study term (not summer-only like the others) - availability set to year-round to reflect this, VERIFY this modeling choice. Stipend amount not confirmed. Requires faculty supervisor + GPA threshold that varies by department - this record is CS-specific; Engineering has its own URA with different eligibility (80% GPA, specific terms) that should probably be a SEPARATE row.",FALSE
mitacs-globalink-research-intern,Mitacs Globalink Research Internship,Mitacs,https://www.mitacs.ca/our-programs/globalink-research-internship/,biology;chemistry;computer-science;physics;neuroscience;engineering,ugrad-2;ugrad-3;ugrad-4,in-person,Canada (70+ institutions),,,summer,TRUE,,,2026-09-16,medium,TRUE,FALSE,FALSE,high,"IMPORTANT: confirmed via search this is for INTERNATIONAL students only (eligible countries incl. Brazil, China, France, Germany, Mexico, UK, US, etc.) - NOT open to Canadian citizens/PRs applying as Canadians. Only include this if Researchly matches US/international students to Canadian programs; exclude or heavily flag if the Canada batch is meant for Canadian users only. 12-week internship, deadline shown is for the 2027 cycle (Sept 16 2026) per search result - re-verify before using.",FALSE
shad-canada,Shad Canada,Shad Canada,https://www.shad.ca/,computer-science;engineering;biology;chemistry,hs-10;hs-11,in-person,Canadian university campuses (multiple),,,summer,FALSE,8900,,,very-high,FALSE,TRUE,FALSE,medium,"Well-known program, but URL not directly confirmed in this session's searches (shad.ca is my best-confidence recall, not a clicked/verified source this round) - CONFIRM before shipping. STEAM + entrepreneurship challenge, not pure research - similar caveat to DEEP. Highly selective, month-long, residential. COST CONFIRMED this pass: ~$8,900 CAD in-person / ~$6,500 virtual for 2026, $750 deposit + 2 installments. Substantial financial aid exists (up to $5M/year, 1 in 3 participants get aid; fully covered under $40k household income, sliding scale to $150k) - the flat cost figure alone undersells accessibility, mention aid availability in any cost-filter UI copy.",FALSE
ims-surp,Summer Undergraduate Research Program (SURP),University of Toronto - Institute of Medical Science,https://ims.utoronto.ca/surp,pre-med;biology,ugrad-1;ugrad-2;ugrad-3;ugrad-4,in-person,"Toronto, ON",43.6598,-79.3958,summer,TRUE,0,,2026-02-25,high,FALSE,FALSE,FALSE,high,"FIXED this pass: the /programs/summer-undergraduate/ path 404s now - correct current URL is ims.utoronto.ca/surp. Deadline for 2026 confirmed: Feb 25 2026, 5pm ET. 12 weeks (June 1-Aug 24), min 35 hrs/week, open to undergrad B.Sc. and medical students without a graduate degree. Director: Dr. Golnaz Karoubi.",FALSE
